,Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout%,margin,margin%,year
7120,Diamond Harbour,21,GEN,West Bengal,Abhishek Banerjee,All India Trinamool Congress,1555914,1261296,81.1,71298,5.7,2014
7121,Dibrugarh,13,GEN,Assam,Rameswar Teli,Bharatiya Janta Party,1124305,890968,79.3,185347,20.8,2014
7122,Dindigul,22,GEN,Tamil Nadu,Udhaya Kumar .M,All India Anna Dravida Munnetra Kazhagam,1400531,1083364,77.4,127845,11.8,2014
7123,Dindori,20,ST,Maharashtra,Chavan Harishchandra Deoram,Bharatiya Janta Party,1530139,970182,63.4,247619,25.5,2014
7124,Domariyaganj,60,GEN,Uttar Pradesh [2000 Onwards],Jagdambika Pal,Bharatiya Janta Party,1761415,935027,53.1,103588,11.1,2014
7125,Dum Dum,16,GEN,West Bengal,Saugata Roy,All India Trinamool Congress,1405981,1132644,80.6,154934,13.7,2014
7126,Dumka,2,ST,Jharkhand,Shibu Soren,Jharkhand Mukti Morcha,1247155,903060,72.4,39030,4.3,2014
7127,Durg,7,GEN,Chhattisgarh,Tamradhwaj Sahu,Indian National Congress,1855781,1258342,67.8,16848,1.3,2014
7128,East Delhi,3,GEN,Delhi [1977 Onwards],Maheish Girri,Bharatiya Janta Party,1829578,1196336,65.4,190463,15.9,2014
7129,Eluru,27,GEN,Andhra Pradesh [2014 Onwards],Maganti Venkateswara Rao (BABU),Telugu Desam,1427760,1201696,84.2,101926,8.5,2014
7130,Ernakulam,12,GEN,Kerala,Prof. K.V. Thomas,Indian National Congress,1156467,850834,73.6,87047,10.2,2014
7131,Erode,17,GEN,Tamil Nadu,Selvakumara Chinnayan S,All India Anna Dravida Munnetra Kazhagam,1321395,1008582,76.3,211563,21.0,2014
7132,Etah,22,GEN,Uttar Pradesh [2000 Onwards],Rajveer Singh (RAJU BHAIYA),Bharatiya Janta Party,1577457,926281,58.7,201001,21.7,2014
7133,Etawah,41,SC,Uttar Pradesh [2000 Onwards],Ashok Kumar Doharey,Bharatiya Janta Party,1707237,939604,55.0,172946,18.4,2014
7134,Faizabad,54,GEN,Uttar Pradesh [2000 Onwards],Lallu Singh,Bharatiya Janta Party,1738701,1022716,58.8,282775,27.6,2014
7135,Faridabad,10,GEN,Haryana,Krishan Pal,Bharatiya Janta Party,1740352,1130726,65.0,466873,41.3,2014
7136,Faridkot,9,SC,Punjab,Prof. Sadhu Singh,Aam Aadmi Party,1455075,1032107,70.9,172516,16.7,2014
7137,Farrukhabad,40,GEN,Uttar Pradesh [2000 Onwards],Mukesh Rajput,Bharatiya Janta Party,1613781,970677,60.2,150502,15.5,2014
7138,Fatehgarh Sahib,8,SC,Punjab,Harinder Singh Khalsa,Aam Aadmi Party,1396957,1030954,73.8,54144,5.3,2014
7139,Fatehpur,49,GEN,Uttar Pradesh [2000 Onwards],Niranjan Jyoti,Bharatiya Janta Party,1804777,1056688,58.6,187206,17.7,2014
7140,Fatehpur Sikri,19,GEN,Uttar Pradesh [2000 Onwards],Babulal,Bharatiya Janta Party,1580582,967968,61.2,173106,17.9,2014
7141,Ferozpur,10,GEN,Punjab,Sher Singh Ghubaya,Shiromani Akali Dal,1522111,1105412,72.6,31420,2.8,2014
7142,Firozabad,20,GEN,Uttar Pradesh [2000 Onwards],Akshay Yadav,Samajwadi Party,1636738,1104606,67.5,114059,10.3,2014
7143,Gadchiroli-Chimur,12,ST,Maharashtra,Ashok Mahadeorao Nete,Bharatiya Janta Party,1469767,1027129,69.9,236870,23.1,2014
7144,Gandhinagar,6,GEN,Gujarat,L.K.Advani,Bharatiya Janta Party,1733972,1135495,65.5,483121,42.5,2014
7145,Ganganagar,1,SC,Rajasthan,Nihalchand,Bharatiya Janta Party,1718421,1256806,73.1,291741,23.2,2014
7146,Garhwal,2,GEN,Uttarakhand,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),Bharatiya Janta Party,1269083,682024,53.7,184526,27.1,2014
7147,Gauhati,7,GEN,Assam,Bijoya Chakravarty,Bharatiya Janta Party,1922270,1511729,78.6,315784,20.9,2014
7148,Gautam Buddh Nagar,13,GEN,Uttar Pradesh [2000 Onwards],Dr.Mahesh Sharma,Bharatiya Janta Party,1986117,1199238,60.4,280212,23.4,2014
7149,Gaya,38,SC,Bihar [2000 Onwards],Hari Manjhi,Bharatiya Janta Party,1500751,809378,53.9,115504,14.3,2014
7150,Ghatal,32,GEN,West Bengal,Adhikari Deepak (DEV),All India Trinamool Congress,1610489,1366709,84.9,260891,19.1,2014
7151,Ghaziabad,12,GEN,Uttar Pradesh [2000 Onwards],Vijay Kumar Singh,Bharatiya Janta Party,2357546,1342320,56.9,567260,42.3,2014
7152,Ghazipur,75,GEN,Uttar Pradesh [2000 Onwards],Manoj Sinha,Bharatiya Janta Party,1801519,986673,54.8,32452,3.3,2014
7153,Ghosi,70,GEN,Uttar Pradesh [2000 Onwards],Harinarayan Rajbhar,Bharatiya Janta Party,1891113,1039656,55.0,146015,14.0,2014
7154,Giridih,6,GEN,Jharkhand,Ravindra Kumar Pandey,Bharatiya Janta Party,1515137,969997,64.0,40313,4.2,2014
7155,Godda,3,GEN,Jharkhand,Nishikant Dubey,Bharatiya Janta Party,1590628,1049442,66.0,60682,5.8,2014
7156,Gonda,59,GEN,Uttar Pradesh [2000 Onwards],Kirti Vardhan Singh,Bharatiya Janta Party,1710827,873732,51.1,160416,18.4,2014
7157,Gopalganj,17,SC,Bihar [2000 Onwards],Janak Ram,Bharatiya Janta Party,1652767,903583,54.7,286936,31.8,2014
7158,Gorakhpur,64,GEN,Uttar Pradesh [2000 Onwards],Adityanath,Bharatiya Janta Party,1904498,1040199,54.6,312783,30.1,2014
7159,Gulbarga,5,SC,Karnataka,Mallikarjun Kharge,Indian National Congress,1721990,997638,57.9,74733,7.5,2014
7160,Guna,4,GEN,Madhya Pradesh [2000 Onwards],Jyotiraditya M Scindia,Indian National Congress,1605619,976629,60.8,120792,12.4,2014
7161,Guntur,30,GEN,Andhra Pradesh [2014 Onwards],Jayadev Galla,Telugu Desam,1572016,1244926,79.2,69111,5.6,2014
7162,Gurdaspur,1,GEN,Punjab,Vinod Khanna,Bharatiya Janta Party,1500337,1042699,69.5,136065,13.0,2014
7163,Gurgaon,9,GEN,Haryana,Inderjit Singh Rao,Bharatiya Janta Party,1845623,1320619,71.6,274722,20.8,2014
7164,Gwalior,3,GEN,Madhya Pradesh [2000 Onwards],Narendra Singh Tomar,Bharatiya Janta Party,1877003,990912,52.8,29699,3.0,2014
7165,Hajipur,21,SC,Bihar [2000 Onwards],Ramvilas Paswan,Lok Jan Shakti Party,1649547,904753,54.9,225500,24.9,2014
7166,Hamirpur,3,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,1247699,835205,66.9,98403,11.8,2014
7167,Hamirpur,47,GEN,Uttar Pradesh [2000 Onwards],Kunwar Pushpendra Singh Chandel,Bharatiya Janta Party,1737993,975240,56.1,266788,27.4,2014
7168,Hardoi,31,SC,Uttar Pradesh [2000 Onwards],Anshul Verma,Bharatiya Janta Party,1714387,972894,56.8,81343,8.4,2014
7169,Hardwar,5,GEN,Uttarakhand,Ramesh Pokhriyal Nishank,Bharatiya Janta Party,1642873,1175692,71.6,177822,15.1,2014
7170,Hassan,16,GEN,Karnataka,H.D. Devegowda,Janata Dal (Secular),1561336,1147172,73.5,100462,8.8,2014
7171,Hathras,16,SC,Uttar Pradesh [2000 Onwards],Rajesh Kumar Diwaker,Bharatiya Janta Party,1758927,1049273,59.7,326386,31.1,2014
7172,Hatkanangle,48,GEN,Maharashtra,Raju Shetty,Swabhimani Paksha,1630598,1188871,72.9,177810,15.0,2014
7173,Haveri,10,GEN,Karnataka,Udasi Shivakumar Channabasappa,Bharatiya Janta Party,1558749,1115968,71.6,87571,7.8,2014
7174,Hazaribagh,14,GEN,Jharkhand,Jayant Sinha,Bharatiya Janta Party,1518831,967152,63.7,159128,16.5,2014
7175,Hindupur,37,GEN,Andhra Pradesh [2014 Onwards],Kristappa Nimmala,Telugu Desam,1446503,1177257,81.4,97325,8.3,2014
7176,Hingoli,15,GEN,Maharashtra,Rajeev Shankarrao Satav,Indian National Congress,1586194,1051164,66.3,1632,0.2,2014
7177,Hisar,4,GEN,Haryana,Dushyant Chautala,Indian National Lok Dal,1517606,1155914,76.2,31847,2.8,2014
7178,Hooghly,28,GEN,West Bengal,Dr. Ratna De (NAG),All India Trinamool Congress,1630042,1348870,82.8,189084,14.0,2014
7179,Hoshangabad,17,GEN,Madhya Pradesh [2000 Onwards],Uday Pratap Singh,Bharatiya Janta Party,1568127,1031175,65.8,389960,37.8,2014
7180,Hoshiarpur,5,SC,Punjab,Vijay Sampla,Bharatiya Janta Party,1485286,961297,64.7,13582,1.4,2014
7181,Howrah,25,GEN,West Bengal,Prasun Banerjee,All India Trinamool Congress,1505099,1125399,74.8,196956,17.5,2014
7182,Hyderabad,9,GEN,Telangana,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimoon,1823664,971421,53.3,202454,20.8,2014
7183,Idukki,13,GEN,Kerala,Adv.Joice George,Independent,1158735,819766,70.8,50542,6.2,2014
7184,Indore,26,GEN,Madhya Pradesh [2000 Onwards],Sumitra Mahajan (TAI),Bharatiya Janta Party,2115303,1316817,62.3,466901,35.5,2014
7185,Inner Manipur,1,GEN,Manipur,Dr. Thokchom Meinya,Indian National Congress,855359,640871,74.9,94674,14.8,2014
7186,Jabalpur,13,GEN,Madhya Pradesh [2000 Onwards],Rakesh Singh,Bharatiya Janta Party,1711683,1002184,58.6,208639,20.8,2014
7187,Jadavpur,22,GEN,West Bengal,Sugata Bose,All India Trinamool Congress,1595746,1272362,79.7,125203,9.8,2014
7188,Jagatsinghpur,16,SC,Orissa,Kulamani Samal,Biju Janata Dal,1499673,1131932,75.5,276394,24.4,2014
7189,Jahanabad,36,GEN,Bihar [2000 Onwards],Dr. Arun Kumar,Rashtriya Lok Samta Party,1423246,811516,57.0,42340,5.2,2014
7190,Jaipur,7,GEN,Rajasthan,Ramcharan Bohara,Bharatiya Janta Party,1957818,1296806,66.2,539345,41.6,2014
7191,Jaipur Rural,6,GEN,Rajasthan,Rajyavardhan Singh Rathore,Bharatiya Janta Party,1699462,1013691,59.7,332896,32.8,2014
7192,Jajpur,8,SC,Orissa,Rita Tarai,Biju Janata Dal,1303733,980435,75.2,320271,32.7,2014
7193,Jalandhar,4,SC,Punjab,Santokh Singh Chaudhary,Indian National Congress,1551497,1040762,67.1,70981,6.8,2014
7194,Jalaun,45,SC,Uttar Pradesh [2000 Onwards],Bhanu Pratap Singh Verma,Bharatiya Janta Party,1903332,1109166,58.3,287202,25.9,2014
7195,Jalgaon,3,GEN,Maharashtra,A.T. Nana Patil,Bharatiya Janta Party,1707933,990332,58.0,383525,38.7,2014
7196,Jalna,18,GEN,Maharashtra,Danve Raosaheb Dadarao,Bharatiya Janta Party,1612054,1066259,66.1,206798,19.4,2014
7197,Jalore,18,GEN,Rajasthan,Devji Patel,Bharatiya Janta Party,1824968,1087272,59.6,381145,35.1,2014
7198,Jalpaiguri,3,SC,West Bengal,Bijoy Chandra Barman,All India Trinamool Congress,1531469,1302117,85.0,69606,5.3,2014
7199,Jammu,6,GEN,Jammu & Kashmir,Jugal Kishore,Bharatiya Janta Party,1848155,1253593,67.8,257280,20.5,2014
7200,Jamnagar,12,GEN,Gujarat,Poonamben Hematbhai Maadam,Bharatiya Janta Party,1470952,852643,58.0,175289,20.6,2014
7201,Jamshedpur,9,GEN,Jharkhand,Bidyut Baran Mahato,Bharatiya Janta Party,1581665,1049140,66.3,99876,9.5,2014
7202,Jamui,40,SC,Bihar [2000 Onwards],Chirag Kumar Paswan,Lok Jan Shakti Party,1550936,775639,50.0,85947,11.1,2014
7203,Jangipur,9,GEN,West Bengal,Abhijit Mukherjee,Indian National Congress,1391656,1119084,80.4,8161,0.7,2014
7204,Janjgir-Champa,3,SC,Chhattisgarh,Kamla Patle,Bharatiya Janta Party,1737532,1073347,61.8,174961,16.3,2014
7205,Jaunpur,73,GEN,Uttar Pradesh [2000 Onwards],Krishna Pratap 'k.P.',Bharatiya Janta Party,1848842,1007143,54.5,146310,14.5,2014
7206,Jhalawar-Baran,25,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,1669842,1146364,68.7,281546,24.6,2014
7207,Jhanjharpur,7,GEN,Bihar [2000 Onwards],Birendra Kumar Chaudhary,Bharatiya Janta Party,1650753,941249,57.0,55408,5.9,2014
7208,Jhansi,46,GEN,Uttar Pradesh [2000 Onwards],Uma Bharati,Bharatiya Janta Party,1932015,1320804,68.4,190467,14.4,2014
7209,Jhargram,33,ST,West Bengal,Uma Saren,All India Trinamool Congress,1475112,1257613,85.3,347883,27.7,2014
7210,Jhunjhunu,4,GEN,Rajasthan,Santosh Ahlawat,Bharatiya Janta Party,1696788,1006465,59.3,233835,23.2,2014
7211,Jodhpur,16,GEN,Rajasthan,Gajendrasingh Shekhawat,Bharatiya Janta Party,1727363,1078598,62.4,410051,38.0,2014
7212,Jorhat,12,GEN,Assam,Kamakhya Prasad Tasa,Bharatiya Janta Party,1234448,931336,75.5,102420,11.0,2014
7213,Joynagar,19,SC,West Bengal,Pratima Mondal,All India Trinamool Congress,1458724,1186052,81.3,108384,9.1,2014
7214,Junagadh,13,GEN,Gujarat,Chudasama Rajeshbhai Naranbhai,Bharatiya Janta Party,1485543,941378,63.4,135832,14.4,2014
7215,Kachchh,1,SC,Gujarat,Chavda Vinod Lakhamashi,Bharatiya Janta Party,1533782,946240,61.7,254482,26.9,2014
7216,Kadapa,38,GEN,Andhra Pradesh [2014 Onwards],Y.S. Avinash Reddy,Yuvajana Sramika Rythu Congress Party,1550579,1200662,77.4,190323,15.9,2014
7217,Kairana,2,GEN,Uttar Pradesh [2000 Onwards],Hukum Singh,Bharatiya Janta Party,1531755,1119324,73.1,236828,21.2,2014
7218,Kaiserganj,57,GEN,Uttar Pradesh [2000 Onwards],Brij Bhusan Sharan Singh,Bharatiya Janta Party,1711967,943357,55.1,78218,8.3,2014
7219,Kakinada,23,GEN,Andhra Pradesh [2014 Onwards],Thota Narasimham,Telugu Desam,1418290,1099999,77.6,3431,0.3,2014
7220,Kalahandi,11,GEN,Orissa,Arka Keshari Deo,Biju Janata Dal,1474135,1117536,75.8,56347,5.0,2014
7221,Kaliabor,11,GEN,Assam,Gourav Gogoi,Indian National Congress,1457865,1166490,80.0,93874,8.0,2014
7222,Kallakurichi,14,GEN,Tamil Nadu,Kamaraj. K,All India Anna Dravida Munnetra Kazhagam,1412499,1107241,78.4,223507,20.2,2014
7223,Kalyan,24,GEN,Maharashtra,Dr.Shrikant Eknath Shinde,Shiv Sena,1922046,824196,42.9,250749,30.4,2014
7224,Kancheepuram,6,SC,Tamil Nadu,Maragatham K,All India Anna Dravida Munnetra Kazhagam,1480123,1128399,76.2,146866,13.0,2014
7225,Kandhamal,13,GEN,Orissa,Hemendra Chandra Singh,Biju Janata Dal,1143602,839415,73.4,181017,21.6,2014
7226,Kangra,1,GEN,Himachal Pradesh,Shanta Kumar,Bharatiya Janta Party,1258601,799445,63.5,170072,21.3,2014
7227,Kanker,11,ST,Chhattisgarh,Vikram Dev Usendi,Bharatiya Janta Party,1447774,1016943,70.2,35158,3.5,2014
7228,Kannauj,42,GEN,Uttar Pradesh [2000 Onwards],Dimple Yadav,Samajwadi Party,1808889,1114460,61.6,19907,1.8,2014
7229,Kanniyakumari,39,GEN,Tamil Nadu,Radhakrishnan P.,Bharatiya Janta Party,1467796,990742,67.5,128662,13.0,2014
7230,Kannur,2,GEN,Kerala,P K Sreemathi Teacher,Communist Party Of India (MARXIST),1170266,947117,80.9,6566,0.7,2014
7231,Kanpur,43,GEN,Uttar Pradesh [2000 Onwards],Dr.Murli Manohar Joshi,Bharatiya Janta Party,1611248,835079,51.8,222946,26.7,2014
7232,Kanthi,31,GEN,West Bengal,Adhikari Sisir Kumar,All India Trinamool Congress,1490409,1290811,86.6,229490,17.8,2014
7233,Karakat,35,GEN,Bihar [2000 Onwards],Upendra Kushwaha,Rashtriya Lok Samta Party,1569989,789927,50.3,105241,13.3,2014
7234,Karauli-Dholpur,10,SC,Rajasthan,Manoj Rajoria,Bharatiya Janta Party,1549662,845941,54.6,27216,3.2,2014
7235,Karimganj,1,SC,Assam,Radheshyam Biswas,All India United Democratic Front,1165997,886920,76.1,102094,11.5,2014
7236,Karimnagar,3,GEN,Telangana,Vinod Kumar Boinapally,Telangana Rashtra Samithi,1550834,1125691,72.6,205077,18.2,2014
7237,Karnal,5,GEN,Haryana,Ashwini Kumar,Bharatiya Janta Party,1684321,1193500,70.9,360147,30.2,2014
7238,Karur,23,GEN,Tamil Nadu,"Thambidurai,m.",All India Anna Dravida Munnetra Kazhagam,1298322,1046534,80.6,195247,18.7,2014
7239,Kasaragod,1,GEN,Kerala,P Karunakaran,Communist Party Of India (MARXIST),1243730,974215,78.3,6921,0.7,2014
7240,Katihar,11,GEN,Bihar [2000 Onwards],Tariq Anwar,Nationalist Congress Party,1446478,977830,67.6,114740,11.7,2014
7241,Kaushambi,50,SC,Uttar Pradesh [2000 Onwards],Vinod Kumar Sonkar,Bharatiya Janta Party,1738994,910038,52.3,42847,4.7,2014
7242,Kendrapara,15,GEN,Orissa,Baijayant Panda,Biju Janata Dal,1555444,1140999,73.4,209108,18.3,2014
7243,Keonjhar,4,ST,Orissa,Sakuntala Laguri,Biju Janata Dal,1346683,1083869,80.5,157317,14.5,2014
7244,Khadoor Sahib,3,GEN,Punjab,Ranjit Singh Brahmpura,Shiromani Akali Dal,1563256,1040518,66.6,100569,9.7,2014
7245,Khagaria,25,GEN,Bihar [2000 Onwards],Choudhary Mahboob Ali Kaiser,Lok Jan Shakti Party,1492068,896231,60.1,76003,8.5,2014
7246,Khajuraho,8,GEN,Madhya Pradesh [2000 Onwards],Nagendra Singh,Bharatiya Janta Party,1702794,874477,51.4,247490,28.3,2014
7247,Khammam,17,GEN,Telangana,Ponguleti Srinivasa Reddy,Yuvajana Sramika Rythu Congress Party,1440289,1182897,82.1,11974,1.0,2014
7248,Khandwa,28,GEN,Madhya Pradesh [2000 Onwards],Nandkumar Singh Chouhan (NANDU BHAIYA),Bharatiya Janta Party,1759410,1257327,71.5,259714,20.7,2014
7249,Khargone,27,ST,Madhya Pradesh [2000 Onwards],Subhash Patel,Bharatiya Janta Party,1703271,1152525,67.7,257879,22.4,2014
7250,Kheda,17,GEN,Gujarat,Chauhan Devusinh Jesingbhai (CHAUHAN DEVUSINH),Bharatiya Janta Party,1599476,955906,59.8,232901,24.4,2014
7251,Kheri,28,GEN,Uttar Pradesh [2000 Onwards],Ajay Kumar,Bharatiya Janta Party,1679466,1077868,64.2,110274,10.2,2014
7252,Khunti,11,ST,Jharkhand,Karia Munda,Bharatiya Janta Party,1111852,736955,66.3,92248,12.5,2014
7253,Kishanganj,10,GEN,Bihar [2000 Onwards],Mohammad Asrarul Haque,Indian National Congress,1438990,928490,64.5,194612,21.0,2014
7254,Kodarma,5,GEN,Jharkhand,Ravindra Kr. Ray,Bharatiya Janta Party,1639629,1024906,62.5,98654,9.6,2014
7255,Kokrajhar,5,ST,Assam,Naba Kumar Sarania (HIRA),Independent,1505476,1223869,81.3,355779,29.1,2014
7256,Kolar,28,SC,Karnataka,K.H.Muniyappa,Indian National Congress,1492975,1127323,75.5,47850,4.2,2014
7257,Kolhapur,47,GEN,Maharashtra,Dhananjay Bhimrao Mahadik,Nationalist Congress Party,1758300,1260289,71.7,33259,2.6,2014
7258,Kolkata Dakshin,23,GEN,West Bengal,Subrata Bakshi,All India Trinamool Congress,1685296,1167979,69.3,136339,11.7,2014
7259,Kolkata Uttar,24,GEN,West Bengal,Sudip Bandyopadhyay,All India Trinamool Congress,1433985,955778,66.7,96226,10.1,2014
7260,Kollam,18,GEN,Kerala,N.K.Premachandran,Revolutionary Socialist Party,1219415,879056,72.1,37649,4.3,2014
7261,Koppal,8,GEN,Karnataka,Karadi Sanganna Amarappa,Bharatiya Janta Party,1535105,1006508,65.6,32414,3.2,2014
7262,Koraput,21,ST,Orissa,Jhina Hikaka,Biju Janata Dal,1300437,989444,76.1,19328,2.0,2014
7263,Korba,4,GEN,Chhattisgarh,Dr. Banshilal Mahto,Bharatiya Janta Party,1419610,1052720,74.2,4265,0.4,2014
7264,Kota,24,GEN,Rajasthan,Om Birla,Bharatiya Janta Party,1744539,1154960,66.2,200782,17.4,2014
7265,Kottayam,14,GEN,Kerala,Jose K. Mani,Kerala Congress(M),1161463,831636,71.6,120599,14.5,2014
7266,Kozhikode,5,GEN,Kerala,M .K Raghavan,Indian National Congress,1182484,943009,79.8,16883,1.8,2014
7267,Krishnagiri,9,GEN,Tamil Nadu,Ashok Kumar.K,All India Anna Dravida Munnetra Kazhagam,1379957,1068391,77.4,206591,19.3,2014
7268,Krishnanagar,12,GEN,West Bengal,Tapas Paul,All India Trinamool Congress,1476783,1247914,84.5,71255,5.7,2014
7269,Kurnool,35,GEN,Andhra Pradesh [2014 Onwards],Butta Renuka,Yuvajana Sramika Rythu Congress Party,1481807,1065732,71.9,44131,4.1,2014
7270,Kurukshetra,2,GEN,Haryana,Raj Kumar Saini,Bharatiya Janta Party,1498459,1135892,75.8,129736,11.4,2014
7271,Kushi Nagar,65,GEN,Uttar Pradesh [2000 Onwards],Rajesh Pandey Urf Guddu,Bharatiya Janta Party,1680992,950445,56.5,85540,9.0,2014
7272,Ladakh,4,GEN,Jammu & Kashmir,Thupstan Chhewang,Bharatiya Janta Party,166763,118029,70.8,36,0.0,2014
7273,Lakhimpur,14,GEN,Assam,Sarbananda Sonowal,Bharatiya Janta Party,1430994,1111975,77.7,292138,26.3,2014
7274,Lakshadweep,1,ST,Lakshadweep,Mohammed Faizal P.P.,Nationalist Congress Party,49922,43239,86.6,1535,3.6,2014
7275,Lalganj,68,SC,Uttar Pradesh [2000 Onwards],Neelam Sonkar,Bharatiya Janta Party,1661483,898655,54.1,63086,7.0,2014
7276,Latur,41,SC,Maharashtra,Dr. Sunil Baliram Gaikwad,Bharatiya Janta Party,1682607,1057156,62.8,253395,24.0,2014
7277,Lohardaga,12,ST,Jharkhand,Sudarshan Bhagat,Bharatiya Janta Party,1119144,651460,58.2,6489,1.0,2014
7278,Lucknow,35,GEN,Uttar Pradesh [2000 Onwards],Raj Nath Singh,Bharatiya Janta Party,1949956,1033783,53.0,272749,26.4,2014
7279,Ludhiana,7,GEN,Punjab,Ravneet Singh Bittu,Indian National Congress,1561201,1100457,70.5,19709,1.8,2014
7280,Machhlishahr,74,SC,Uttar Pradesh [2000 Onwards],Ram Charitra Nishad,Bharatiya Janta Party,1891969,997902,52.7,172155,17.3,2014
7281,Machilipatnam,28,GEN,Andhra Pradesh [2014 Onwards],Konakalla Narayana Rao,Telugu Desam,1369311,1141065,83.3,81057,7.1,2014
7282,Madha,43,GEN,Maharashtra,Mohite Patil Vijaysinh Shankarrao,Nationalist Congress Party,1727308,1079619,62.5,25344,2.3,2014
7283,Madhepura,13,GEN,Bihar [2000 Onwards],Rajesh Ranjan @ Pappu Yadav,Rashtriya Janata Dal,1725578,1034799,60.0,56209,5.4,2014
7284,Madhubani,6,GEN,Bihar [2000 Onwards],Hukm Deo Narayan Yadav,Bharatiya Janta Party,1627969,860453,52.9,20535,2.4,2014
7285,Madurai,32,GEN,Tamil Nadu,R.Gopalakrishnan,All India Anna Dravida Munnetra Kazhagam,1441434,978346,67.9,197436,20.2,2014
7286,Mahabubabad,16,ST,Telangana,Prof. Azmeera Seetaram Naik,Telangana Rashtra Samithi,1387343,1124370,81.0,34992,3.1,2014
7287,Maharajganj,63,GEN,Uttar Pradesh [2000 Onwards],Pankaj,Bharatiya Janta Party,1743131,1056078,60.6,240458,22.8,2014
7288,Maharajganj,19,GEN,Bihar [2000 Onwards],Janardan Singh Sigriwal,Bharatiya Janta Party,1644524,846654,51.5,38415,4.5,2014
7289,Mahasamund,9,GEN,Chhattisgarh,Chandu Lal Sahu (CHANDU BHAIYA),Bharatiya Janta Party,1515747,1131209,74.6,1217,0.1,2014
7290,Mahbubnagar,11,GEN,Telangana,Ap Jithender Reddy,Telangana Rashtra Samithi,1418672,1014800,71.5,2590,0.3,2014
7291,Mahesana,4,GEN,Gujarat,Patel Jayshreeben Kanubhai,Bharatiya Janta Party,1498219,1004258,67.0,208891,20.8,2014
7292,Mainpuri,21,GEN,Uttar Pradesh [2000 Onwards],Mulayam Singh Yadav,Samajwadi Party,1653065,999265,60.5,364666,36.5,2014
7293,Malappuram,6,GEN,Kerala,E. Ahamed,Indian Union Muslim League,1198444,853467,71.2,194739,22.8,2014
7294,Maldaha Dakshin,8,GEN,West Bengal,Abu Hasem Khan Chowdhury,Indian National Congress,1347143,1092407,81.1,164111,15.0,2014
7295,Maldaha Uttar,7,GEN,West Bengal,Mausam Noor,Indian National Congress,1425428,1162985,81.6,65705,5.6,2014
7296,Malkajgiri,7,GEN,Telangana,Ch.Malla Reddy,Telugu Desam,3183325,1620397,50.9,28371,1.8,2014
7297,Mandi,2,GEN,Himachal Pradesh,Ram Swaroop Sharma,Bharatiya Janta Party,1150408,726094,63.1,39856,5.5,2014
7298,Mandla,14,ST,Madhya Pradesh [2000 Onwards],Faggan Singh Kulaste,Bharatiya Janta Party,1824424,1218518,66.8,110469,9.1,2014
7299,Mandsour,23,GEN,Madhya Pradesh [2000 Onwards],Sudhir Gupta,Bharatiya Janta Party,1626571,1161349,71.4,303649,26.1,2014
7300,Mandya,20,GEN,Karnataka,C.S.Puttaraju,Janata Dal (Secular),1669262,1192638,71.5,5518,0.5,2014
7301,Mangaldoi,8,GEN,Assam,Ramen Deka,Bharatiya Janta Party,1515676,1233237,81.4,22884,1.9,2014
7302,Mathura,17,GEN,Uttar Pradesh [2000 Onwards],Hema Malini,Bharatiya Janta Party,1682260,1076868,64.0,330743,30.7,2014
7303,Mathurapur,20,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,1488784,1265531,85.0,138436,10.9,2014
7304,Maval,33,GEN,Maharashtra,Appa Alias Shrirang Chandu Barne,Shiv Sena,1953741,1174335,60.1,157397,13.4,2014
7305,Mavelikara,16,SC,Kerala,Kodikunnil Suresh,Indian National Congress,1252668,889060,71.0,32737,3.7,2014
7306,Mayiladuthurai,28,GEN,Tamil Nadu,Bharathi Mohan R.K,All India Anna Dravida Munnetra Kazhagam,1350318,1025538,76.0,277050,27.0,2014
7307,Mayurbhanj,5,ST,Orissa,Rama Chandra Hansdah,Biju Janata Dal,1327555,1053399,79.4,122866,11.7,2014
7308,Medak,6,GEN,Telangana,Kalvakuntla Chandrasekhar Rao,Telangana Rashtra Samithi,1536715,1191096,77.5,397029,33.3,2014
7309,Medinipur,34,GEN,West Bengal,Sandhya Roy,All India Trinamool Congress,1499673,1260032,84.0,184666,14.7,2014
7310,Meerut,10,GEN,Uttar Pradesh [2000 Onwards],Rajendra Agarwal,Bharatiya Janta Party,1764388,1113384,63.1,232326,20.9,2014
7311,Mirzapur,79,GEN,Uttar Pradesh [2000 Onwards],Anupriya Singh Patel,Apna Dal,1720661,1007627,58.6,219079,21.7,2014
7312,Misrikh,32,SC,Uttar Pradesh [2000 Onwards],Anju Bala,Bharatiya Janta Party,1725585,998314,57.9,87363,8.8,2014
7313,Mizoram,1,ST,Mizoram,C. L. Ruala,Indian National Congress,702170,433201,61.7,6154,1.4,2014
7314,Mohanlalganj,34,SC,Uttar Pradesh [2000 Onwards],Kaushal Kishore,Bharatiya Janta Party,1838194,1116588,60.7,145416,13.0,2014
7315,Moradabad,6,GEN,Uttar Pradesh [2000 Onwards],Kunwer Sarvesh Kumar,Bharatiya Janta Party,1772046,1127965,63.7,87504,7.8,2014
